Bug ID,Date/Time,Found By,Severity,Status,Area,Case ID,Env (url / browser / role / width),Steps,Expected,Actual (status + body secrets redacted),Screenshot,Repro Rate,Owner/Notes
SA-001,2026-06-01 20:04 IST,Claude (Superadmin audit),Medium,Open,auth,SA-Pass1,static code review / n-a / super_admin (also holds engineer) / n-a,1) Sign in as a super_admin who also holds the engineer role 2) Open /admin/v2 3) Click 'Sign out' in the panel top bar,"Sign-out flips presence to offline (presence_state='offline'), same as the StaffShell sign-out path","SignOutButton calls legacy engineer_set_online(false) which does NOT write presence_state; on next login the user can reappear Online and be offered live calls",N/A,100% static (multi-role accounts only),"SignOutButton.tsx:27 vs StaffShell.tsx:627. Fix: call set_engineer_presence({_state:'offline'}) or extract one shared signOut() helper. Confidence High."
SA-002,2026-06-01 20:04 IST,Claude (Superadmin audit),Low,Open,perf,SA-Pass1,static code review / n-a / super_admin / n-a,1) Load /admin/v2 2) Trace auth resolution,Single auth+roles resolution reused across server and client,">=2 server getUser() + client useStaffGuard getUser()+roles + meEmail getUser() + device-register RPC per load; roles queried both server and client",N/A,100% static,"layout.tsx:24, page.tsx:15-22, StaffShell.tsx:194-204 & 250-253. Fix: seed client from server-provided user/roles."
SA-003,2026-06-01 20:04 IST,Claude (Superadmin audit),Low,Open,ux,SA-Pass1,static code review / n-a / super_admin / n-a,1) Sign in as super_admin 2) On a non-bare staff page click Home/wordmark,Home routes to the super_admin primary surface /admin/v2,"homeHref resolves to /supervise for super_admin (falls through the engineer/enterprise ladder)",N/A,100% static,"StaffShell.tsx:127. Fix: add super_admin -> /admin/v2 to the homeHref ladder."
SA-004,2026-06-01 20:04 IST,Claude (Superadmin audit),Low,Open,ux,SA-Pass1,static code review / n-a / super_admin / n-a,1) Open /admin/v2 2) Switch from default tab to another tab 3) Press browser Back,Back returns to the previously active tab,"?tab= is written with router.replace (no history) and PanelClient reads ?tab= only on mount; Back exits the panel and tab state never re-syncs from URL",N/A,100% static,"PanelClient.tsx:40-43 + TabsHeader.tsx:41. Fix: drive tab from useSearchParams (URL as source of truth)."
SA-005,2026-06-01 20:04 IST,Claude (Superadmin audit),Low,Open,auth,SA-Pass1,static code review / n-a / super_admin / n-a,1) Sign in as super_admin (no supervisor role) 2) Stay on /admin/v2 while a live session escalates,Escalation toasts/ack are scoped to supervisors,"SupervisorAlerts renders for super_admin (gated only on !engineer); super_admin can acknowledge_escalation (first-acker-wins)",N/A,Unverified (Med confidence),"StaffShell.tsx:322 & 547. Confirm intent; if admins should not ack, gate on roles.includes(supervisor)."
SA-006,2026-06-01 20:04 IST,Claude (Superadmin audit),Low,Open,auth,SA-Pass1,static code review / n-a / super_admin / n-a,1) Sign in as super_admin 2) Force a transient user_role_names query failure (network blip),Transient role-query error retries or preserves prior state,"useStaffGuard sets state 'not-staff' on query error; StaffShell then renders the full-screen 'Staff access required' page to an authenticated super_admin",N/A,Unverified (needs forced error),"useStaffGuard.ts:56-60. Fix: distinguish query-error from no-role; on error keep prior state / show retry."
SA-007,2026-06-01 20:04 IST,Claude (Superadmin audit),Low,Open,ui,SA-Pass1,static code review / n-a / super_admin / n-a,1) Open /admin/v2 2) Look for a notification bell,A notification surface is available to super_admin if expected,"No NotificationBell mounted in the super_admin panel (component exists, used only in reseller/enterprise panels)",N/A,100% static,"PanelClient.tsx:52-58. Decide whether super_admin needs an in-panel notifications inbox."
SA-008,2026-06-01 20:04 IST,Claude (Superadmin audit),Low,Open,api,SA-Pass1,static code review / /api/admin/* / super_admin / n-a,1) Call any /api/admin/* route with SUPABASE_SERVICE_ROLE_KEY unset on the server,Server-misconfiguration returns a 5xx,"requireSuperAdmin returns HTTP 401 {error:'service_role_not_configured'} for a server config problem (should be 5xx)",N/A,100% static,"admin-auth.ts:47-48. Fix: return 500 for missing service-role env.
"SA-009","2026-06-01 20:30 IST","Claude (Superadmin audit)","Medium","Open","ui","SA-Pass2","static code review / /admin/v2 Internal Users / super_admin / n-a","1) Have >100 users in one role 2) Open Internal Users tab","All users visible or a pagination control; tile count matches table","Rows capped at pageSize=100 per role; table shows 100 of 100 while the role tile shows the true total; extra users silently hidden","N/A","100% static","InternalUsersTab.tsx:62,110-146. Add pagination/load-more or expose the cap."
"SA-010","2026-06-01 20:30 IST","Claude (Superadmin audit)","Medium","Open","ui","SA-Pass2","static code review / /admin/v2 Internal Users / super_admin / n-a","1) Invite an internal user 2) Before first sign-in view the table","A Pending/Invited state (awaitingFirstSignIn is fetched)","status renders only ACTIVE->active / DEACTIVATED->suspended; awaitingFirstSignIn never surfaced; invited user shows active","N/A","100% static","InternalUsersTab.tsx:42-45,345-356."
"SA-011","2026-06-01 20:30 IST","Claude (Superadmin audit)","Low","Open","ui","SA-Pass2","static code review / /admin/v2 Internal Users / super_admin / n-a","1) Click Delete on a Superadmin row or your own row","Action hidden/disabled where not permitted","DELETE always fails server-side (Super Admins cant be deleted / cant delete own record); error shown via alert","N/A","100% static","InternalUsersTab.tsx:371. Hide/disable for super_admin and self."
"SA-012","2026-06-01 20:30 IST","Claude (Superadmin audit)","Low","Open","ui","SA-Pass2","static code review / /admin/v2 Bench + Internal Users / super_admin / n-a","1) Delete/deactivate/resend a user; reject a request; remove a pod holiday","App Modal/Toast components","Uses native window.confirm/alert/prompt (blocking, unstyled, inconsistent with app)","N/A","100% static","InternalUsersTab.tsx:168-194; BenchTab.tsx:294,489."
"SA-013","2026-06-01 20:30 IST","Claude (Superadmin audit)","Medium","Open","ux","SA-Pass2","static code review / /admin/v2 Bench + Internal Users / super_admin / n-a","1) Make /api/admin/* fail (offline) 2) View OpsBanner/Requests/Matching/counts","An error state with retry","Fetch errors swallowed; UI shows empty (Nobody matching, No open requests, tiles 0) as if healthy","N/A","Unverified (needs forced error)","BenchTab.tsx:443,483; MatchingInline.tsx:43-51; InternalUsersTab.tsx:91."
"SA-014","2026-06-01 20:30 IST","Claude (Superadmin audit)","Low","Open","ux","SA-Pass2","static code review / /admin/v2 Bench Requests / super_admin / n-a","1) Bench > Requests 2) Approve/Reject when the RPC fails","Error feedback; row state preserved/retry","resolve() has no catch; failure gives no feedback and no row update (unhandled rejection)","N/A","Unverified (needs forced error)","BenchTab.tsx:487-492."
"SA-015","2026-06-01 20:30 IST","Claude (Superadmin audit)","Low","Open","ui","SA-Pass2","static code review / /admin/v2 Internal Users / super_admin / n-a","1) Open Internal Users 2) Observe the Matching tile","No count (its an ops surface) or a live count","count={0} hardcoded on the Matching tile -> reads as 0 items","N/A","100% static","InternalUsersTab.tsx:235-240."
"SA-016","2026-06-01 20:30 IST","Claude (Superadmin audit)","Low","Open","ui","SA-Pass2","static code review / /admin/v2 Add Internal User / super_admin / n-a","1) Open Add Internal User from a role tile","Sync role via effect, not render-phase setTimeout","setState-in-render guarded hack syncs role; can snap role back and causes extra renders","N/A","100% static","AddInternalUserDrawer.tsx:40-44. Move to useEffect."
"SA-017","2026-06-01 20:30 IST","Claude (Superadmin audit)","Low","Open","auth","SA-Pass2","static code review / /admin/v2 Add Internal User / super_admin / n-a","1) Add Internal User 2) Pick Superadmin 3) Send invite","A confirm step for granting platform-wide admin","One-click role select + send; no extra confirmation for the highest-privilege grant","N/A","100% static","AddInternalUserDrawer.tsx:51-77."
"SA-018","2026-06-01 20:55 IST","Claude (Superadmin audit)","Medium","Open","ux","SA-Pass3","static code review / /admin/v2 Enterprise dept-admin card / super_admin / n-a","1) Enterprise > select a dept with an admin 2) Click the trash icon Remove as department admin","Clears the admin assignment; the employee stays in the department","onRemove=detachEmployee -> DELETE .../employees/[id]; confirm says Remove this employee from the department; the person is removed from the dept entirely","N/A","100% static","EnterpriseTab.tsx:498-503,236-247,823-829. Separate remove-admin-role from detach-employee."
"SA-019","2026-06-01 20:55 IST","Claude (Superadmin audit)","Medium","Closed","ui","SA-Pass3","static code review / /admin/v2 Enterprise employees+dept-admin / super_admin / n-a","1) Invite an employee 2) Before they sign in view dept employees/admin","A Pending/Invited state plus a working Resend","WITHDRAWN - false positive: the admin orgs employees route DOES emit invited (via last_sign_in_at) so EnterpriseTab Resend works correctly","N/A","N/A","WITHDRAWN: employees/route.ts:104 emits invited/active/suspended; EnterpriseTab handles it. (The enterprise-admin route differs but is out of this flow scope.)"
