BUG ID,Severity,Area,Status,Env,Steps,Expected,Actual,Screenshot,Repro,Notes
AUDIT-ZOOM-SIG-1,Blocker,auth,LIVE-CONFIRMED,dev 10.0.1.112,"POST {SUPABASE}/functions/v1/zoom-sdk-signature with only public anon key (no user JWT), body {meetingNumber:any, role:1}",401/403 — caller must own the meeting/session,"HTTP 200 + valid 285-char Meeting-SDK HOST signature + sdkKey (zak empty in probe). Anyone with the browser-shipped anon key mints host creds for any meeting number.",—,always,"= P3-E1. verify_jwt=false, no ownership check. Legacy Meeting SDK path but live in supabase/config.toml. zak empty softens host-impersonation."
AUDIT-ASSISTANT-OPEN-1,High,api,LIVE-CONFIRMED,dev 10.0.1.112,"POST /api/assistant unauthenticated {messages:[{role:user,content:hi}]}",401 unauthenticated,"HTTP 200, full gpt-4o-mini-2024-07-18 completion returned to anon",—,always,"= P3-C01. Unmetered OpenAI proxy -> cost-abuse/DoS. intake/turn same class (P3-C02): anon -> 400 validation, no 401 gate."
AUDIT-ONLINE-ENG-LEAK-1,Medium,idor,LIVE-CONFIRMED,dev 10.0.1.112,GET /api/online-engineers unauthenticated,401 or no PII,"HTTP 200 with engineer real user_id UUID + pseudoName + tech stack + experienceYears + ETA to anonymous caller",—,always,"= P3-C03. Service-role read exposed to anon. Engineer enumeration."
AUDIT-DATA-400-1,Medium,api,LIVE-CONFIRMED-PROD,dev+deploy,"Load /room as client AND /dashboard as engineer; watch network. CONFIRMED on relay-green-471i.vercel.app too.",200 on data polls,"projects select incl. completion_status,completed_at -> 400 on /room (4x per poll) AND on engineer /dashboard KPIs. Reproduces on PRODUCTION deploy. Both silently fall back -> project sidebar/summary empty.",qa/screens/client-room.png;qa/screens/deploy-client-room-stale.png,always,"NEW. Schema drift: completion_status/completed_at/contract_type missing vs client query. Escalated dev->PROD. Cross-ref dashboard.md 'stats fail silent if pre-migration'."
AUDIT-REALTIME-POLLING-1,Low,realtime,LIVE-CONFIRMED-PROD,deploy vercel,"Login client -> /room on deploy; inspect network for wss/realtime",Supabase realtime WS per documented relay-session:{id} channel,"ALL session/chat/queue updates via /api/supabase/rest/v1 GET polling (~1-2s); ZERO WebSocket/wss observed on production. Contradicts documented realtime channels.",—,always,"Architectural note (not nec. a bug). Polling masks realtime bugs + is the live transport. Relevant to R5 + connections.md. Re-verify if realtime ever enabled."
AUDIT-STARTCALL-NOOP-1,Low,ux,LIVE-CONFIRMED-PROD,deploy vercel,"/room idle -> type draft message -> click 'Start a call' (draft unsent)",Ring/connecting state begins,"Button goes active but NO connecting/ring/matching overlay; idle hero remains; guest_calls active-status = [] (no session created). Silent no-op, no user feedback.",qa/screens/deploy-client-postcall-ended.png,always,"NEW. May require sending message first; nothing tells the user. Low."
AUDIT-CSP-REPORTONLY-PROD-1,Info,security,LIVE-CONFIRMED-PROD,deploy vercel,"/room on deploy; console",CSP enforced OR report-only documented,"CSP Report-Only on PROD: 'upgrade-insecure-requests ignored ... report-only'; Stripe iframe frame-src 'self' violation 'logged, but no further action taken'. Blocks nothing.",—,always,"Confirms OQ-5/R13 on production. A firing XSS would NOT be blocked. Not a finding by itself; context for any XSS severity."
AUDIT-BULK-IN-QUERY-1,Low,api,LIVE-CONFIRMED-PROD,deploy vercel,"/room on deploy; network",Bounded history query,"guest_messages/client_intakes/guest_calls read with guest_call_id=in.(~90 UUIDs); list grows with customer lifetime session count. Unbounded in.() list.",—,always,"NEW perf smell. URL length + query cost grow per customer history."
AUDIT-SUPALERTS-OVERSUB-1,Medium,authz,STATIC+LIVE-PARTIAL,dev 10.0.1.112,"Login reseller -> /reseller/v2; inspect StaffShell mount + network",Only supervisors subscribe to guest_calls/session_escalations realtime,"Code: StaffShell mounts SupervisorAlerts for !isEngineer (deny-list) so reseller/enterprise/dept admins ATTEMPT global guest_calls + session_escalations subscriptions. LIVE: no actual leak today — RLS returns [] for reseller, and realtime WS is non-functional in this env (all polling).",—,always,"= C3-1/P1-10. Fragile least-privilege violation: one RLS regression on guest_calls = live cross-tenant leak to channel partner. Fix: allow-list gate + don't mount in /reseller/v2 branch. StaffShell.tsx:485-500, 1240-1346."
AUDIT-LOGIN-COPY-1,Low,ux,LIVE-CONFIRMED,dev 10.0.1.112,Open /login,Copy matches password-first form,"Subtitle 'Enter your email — we'll send you an 8-digit code' shown above a password-first form (Email+Password+Sign in).",qa/screens/client-login.png,always,"NEW. OTP copy on password form. Cosmetic but misleading."
